G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
20200916SKHT0,20200916,SK,HT,T,99997,1,0,0,0,0,0,0,3,0
20200916SSKT0,20200916,SS,KT,T,69442,2,2,0,2,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,79402,4,0,1,1,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,63435,1,0,0,0,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,62415,4,0,0,2,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,50458,0,0,1,0,0,0,0,1,0
20200916SSKT0,20200916,SS,KT,T,61404,5,0,0,0,0,0,0,0,1
20200916SSKT0,20200916,SS,KT,T,74540,2,0,0,0,0,0,0,1,0
20200916SSKT0,20200916,SS,KT,T,75566,4,0,0,1,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,64468,2,0,0,0,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,No_Code,3,0,0,3,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,64499,0,0,1,0,0,0,0,1,0
20200916SSKT0,20200916,SS,KT,T,66838,4,1,1,2,1,0,0,1,0
20200916SSKT0,20200916,SS,KT,T,64266,1,1,1,1,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,99999,3,0,0,0,0,0,0,1,2
20200916SSKT0,20200916,SS,KT,T,64407,1,0,1,1,0,0,0,0,0
20200916SSKT0,20200916,SS,KT,T,62404,3,0,0,1,0,0,0,1,1
20200916WOLT0,20200916,WO,LT,B,78168,4,0,0,1,1,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,68305,1,0,0,0,0,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,64300,4,1,0,0,0,0,0,0,2
20200916WOLT0,20200916,WO,LT,B,67341,3,0,0,0,0,0,0,1,0
20200916WOLT0,20200916,WO,LT,B,99998,2,0,0,0,0,0,0,1,0
20200916WOLT0,20200916,WO,LT,B,65399,1,0,0,0,0,0,0,0,0
20200916WOLT0,20200916,WO,LT,B,65898,4,0,0,1,0,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,65362,1,0,0,0,0,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,67304,4,0,0,2,0,0,0,0,2
20200916WOLT0,20200916,WO,LT,B,79365,3,0,0,0,0,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,66354,1,0,0,0,0,0,0,0,1
20200916WOLT0,20200916,WO,LT,B,64657,1,0,1,0,0,0,0,2,1
20200916WOLT0,20200916,WO,LT,B,65586,3,0,1,0,0,0,0,1,1
20200917HHWO0,20200917,HH,WO,T,50704,3,0,0,0,0,0,0,0,1
20200917HHWO0,20200917,HH,WO,T,78288,3,0,0,0,0,0,0,0,2
20200917HHWO0,20200917,HH,WO,T,61700,2,1,0,0,0,0,0,0,0
20200917HHWO0,20200917,HH,WO,T,69737,2,0,0,0,0,0,0,1,1
