G_ID,GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
20200816LGNC0,20200816,LG,NC,T,32,6,6,7,0,0,2,0,8,3,1,0,8
20200818LGHT0,20200818,LG,HT,B,37,6,6,12,1,0,2,1,2,13,2,0,6
20200819LGHT0,20200819,LG,HT,B,34,9,10,12,2,2,1,1,10,3,2,0,11
20200820LGWO0,20200820,LG,WO,T,36,5,5,9,1,0,1,1,2,9,1,1,6
20200821LGWO0,20200821,LG,WO,T,36,7,7,10,1,1,2,1,6,6,0,0,8
20200823LGHH0,20200823,LG,HH,B,30,3,3,6,1,0,0,0,7,8,3,1,7
20200824LGHH0,20200824,LG,HH,B,32,3,3,5,1,0,0,1,5,6,1,1,7
20200825LGSS0,20200825,LG,SS,T,33,3,3,7,1,0,1,1,7,8,0,0,10
20200826LGSS0,20200826,LG,SS,T,36,8,8,10,1,0,4,0,3,7,0,1,4
20200827LGKT0,20200827,LG,KT,B,29,1,2,6,0,1,0,1,2,7,1,0,5
20200828LGKT0,20200828,LG,KT,B,40,5,6,12,3,0,0,0,5,6,2,0,9
20200829LGOB0,20200829,LG,OB,B,37,5,5,10,2,0,2,0,1,13,0,0,6
20200830LGOB0,20200830,LG,OB,B,30,4,4,8,2,0,1,2,6,6,1,0,9
20200901LGSK0,20200901,LG,SK,T,38,12,13,11,3,0,3,0,9,10,0,0,9
20200903LGNC0,20200903,LG,NC,B,32,6,6,9,1,0,1,0,2,8,2,2,5
20200904LGNC0,20200904,LG,NC,B,46,5,5,13,3,1,0,2,9,14,1,1,16
20200906LGLT0,20200906,LG,LT,T,42,6,7,14,4,0,2,0,1,8,0,1,10
20200907LGLT0,20200907,LG,LT,T,40,5,6,16,2,0,1,0,3,9,2,0,10
20200908LGHT0,20200908,LG,HT,T,35,2,2,11,3,1,0,0,8,3,2,1,14
20200910LGWO0,20200910,LG,WO,B,35,6,6,10,2,0,1,0,5,7,0,0,10
20200911LGWO0,20200911,LG,WO,B,33,2,2,8,1,0,0,1,3,11,0,0,9
20200912LGSS0,20200912,LG,SS,B,29,1,1,2,0,0,1,1,1,6,0,0,2
20200913LGSS0,20200913,LG,SS,B,31,0,0,4,1,0,0,0,1,10,0,1,5
20200915LGHH0,20200915,LG,HH,T,39,4,5,8,2,0,1,3,3,14,0,0,7
20200916LGHH0,20200916,LG,HH,T,40,9,11,15,8,0,0,0,6,5,2,0,8
20200917LGLT0,20200917,LG,LT,B,34,9,9,8,0,0,2,1,4,6,0,1,6
20200918LGLT0,20200918,LG,LT,B,34,3,3,7,1,0,1,1,4,6,0,2,8
20200919LGOB0,20200919,LG,OB,T,40,9,9,18,1,0,2,2,4,6,2,1,11
20200920LGOB0,20200920,LG,OB,T,37,5,5,10,3,1,2,0,1,11,0,1,6
20200922LGSK0,20200922,LG,SK,B,30,6,7,7,1,0,0,2,5,5,2,2,4
20200923LGSK0,20200923,LG,SK,B,31,6,6,10,2,0,1,0,1,6,0,1,3
20200721LTSK0,20200721,LT,SK,T,35,7,7,10,1,0,1,1,5,4,1,0,6
20200724LTWO0,20200724,LT,WO,T,33,3,4,9,1,0,0,2,6,8,1,0,9
20200725LTWO0,20200725,LT,WO,T,35,6,6,9,2,0,0,0,5,11,0,0,7
20200726LTWO0,20200726,LT,WO,T,34,1,1,8,3,0,0,1,3,4,2,0,9
20200728LTNC0,20200728,LT,NC,B,36,11,11,14,3,0,2,0,8,6,1,1,9
20200731LTHT0,20200731,LT,HT,B,33,1,2,6,2,0,0,0,3,5,3,1,7
20200801LTHT0,20200801,LT,HT,B,31,6,7,10,3,0,2,0,5,3,2,0,6
20200802LTHT0,20200802,LT,HT,B,34,8,8,11,4,0,0,0,4,6,2,0,7
20200804LTSK0,20200804,LT,SK,T,41,8,8,15,3,0,1,0,5,2,1,0,11
20200806LTSK0,20200806,LT,SK,T,33,8,8,6,0,0,2,0,6,6,0,0,4
20200807LTOB0,20200807,LT,OB,T,39,7,8,12,2,0,2,0,9,6,1,0,14
20200808LTOB0,20200808,LT,OB,T,22,1,1,6,1,0,0,0,1,6,1,0,5
20200812LTNC0,20200812,LT,NC,B,33,8,8,13,3,0,1,0,6,4,1,0,9
20200813LTNC0,20200813,LT,NC,B,33,2,2,7,1,0,0,0,0,6,1,0,4
20200814LTWO0,20200814,LT,WO,B,31,5,5,11,2,0,0,0,5,6,0,1,9
20200815LTWO0,20200815,LT,WO,B,35,1,1,7,0,0,0,0,1,6,1,0,8
20200816LTWO0,20200816,LT,WO,B,30,3,3,6,1,0,0,3,5,5,3,0,6
20200818LTOB0,20200818,LT,OB,B,34,2,2,6,0,1,1,0,2,7,0,4,7
20200819LTOB0,20200819,LT,OB,B,31,6,7,10,3,0,0,4,1,3,1,1,4
20200820LTOB0,20200820,LT,OB,T,36,6,6,11,2,1,1,2,7,7,1,0,11
20200821LTOB0,20200821,LT,OB,T,31,0,0,3,1,0,0,2,2,8,0,1,6
20200822LTSS0,20200822,LT,SS,T,39,4,5,13,2,0,1,1,2,5,0,1,10
20200823LTSS0,20200823,LT,SS,T,37,10,11,10,2,0,3,1,6,7,0,0,5
20200825LTSK0,20200825,LT,SK,B,38,8,8,11,1,0,1,0,4,6,1,1,8
20200826LTSK0,20200826,LT,SK,B,28,3,3,4,0,0,0,0,9,4,0,0,10
20200827LTWO0,20200827,LT,WO,B,36,5,6,12,2,0,0,0,6,5,2,2,10
20200828LTWO0,20200828,LT,WO,B,37,4,4,12,2,0,2,2,3,3,1,1,9
20200829LTHH0,20200829,LT,HH,B,33,9,9,11,3,0,4,1,6,5,1,1,7
