GDAY_DS,T_ID,VS_T_ID,TB_SC,P_ID,AB,RBI,RUN,HIT,H2,H3,HR,BB,KK
200721,KT,LG,B,50054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
200721,SK,LT,B,61353,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200721,SK,LT,B,62895,4.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
200721,SK,LT,B,63450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,SK,LT,B,77463,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
200721,SK,LT,B,67872,5.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0
200721,SK,LT,B,75847,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
200721,SK,LT,B,68868,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
200721,SK,LT,B,50854,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,79150,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
200721,KT,LG,B,73113,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,65207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LG,KT,T,61102,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
200721,LG,KT,T,78217,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
200721,LG,KT,T,66113,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
200721,LG,KT,T,71184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,68106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,KT,LG,B,78548,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,65109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,KT,LG,B,62802,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
200721,KT,LG,B,64868,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
200721,KT,LG,B,77243,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,66108,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
200721,KT,LG,B,64006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LG,KT,T,76290,4.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0
200721,LG,KT,T,50165,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
200721,LG,KT,T,78135,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200721,LG,KT,T,77564,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
200721,LG,KT,T,69100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200721,LG,KT,T,79109,5.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
200722,HT,HH,T,72443,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200722,HT,HH,T,78629,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
200722,HT,HH,T,62864,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200722,HT,HH,T,63722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200722,HT,HH,T,62265,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
200722,HT,HH,T,66614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200722,HT,HH,T,64646,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
200722,HT,HH,T,69636,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200722,HT,HH,T,65464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200722,HT,HH,T,69652,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200722,HT,HH,T,73209,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
200722,HT,HH,T,64560,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200722,HH,HT,B,61700,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200722,HH,HT,B,50709,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
200722,HH,HT,B,78756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200722,HH,HT,B,74163,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
200722,HH,HT,B,50730,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
