GDAY_DS,T_ID,VS_T_ID,TB_SC,WLS,INN2,BF,AB,HIT,H2,H3,HR,SB,BB,KK,GD,R,ER
200823,SS,LT,B,L,27.0,167.0,37.0,10.0,2.0,0.0,3.0,1.0,6.0,7.0,0.0,11.0,8.0
200823,LT,SS,T,W,27.0,149.0,31.0,4.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0
200823,KT,NC,B,W,27.0,150.0,35.0,9.0,2.0,0.0,0.0,0.0,5.0,7.0,1.0,1.0,1.0
200823,NC,KT,T,L,24.0,160.0,34.0,13.0,2.0,0.0,3.0,0.0,8.0,6.0,1.0,10.0,10.0
200823,SK,OB,B,L,27.0,158.0,35.0,9.0,0.0,0.0,3.0,3.0,9.0,4.0,0.0,8.0,7.0
200823,OB,SK,T,W,27.0,165.0,34.0,9.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,1.0,1.0
200825,NC,HH,B,W,27.0,179.0,37.0,11.0,1.0,1.0,0.0,0.0,6.0,9.0,1.0,3.0,3.0
200825,HH,NC,T,L,24.0,150.0,38.0,15.0,3.0,0.0,6.0,1.0,2.0,7.0,0.0,11.0,11.0
200825,OB,HT,B,W,27.0,172.0,34.0,9.0,2.0,0.0,1.0,2.0,11.0,5.0,2.0,8.0,6.0
200825,HT,OB,T,L,24.0,174.0,37.0,15.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,10.0,8.0
200825,SS,LG,B,W,27.0,166.0,33.0,7.0,1.0,0.0,1.0,1.0,7.0,8.0,0.0,3.0,3.0
200825,LG,SS,T,L,24.0,114.0,31.0,7.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,4.0
200825,LT,SK,B,L,27.0,173.0,37.0,11.0,3.0,0.0,2.0,1.0,9.0,3.0,1.0,10.0,10.0
200825,SK,LT,T,W,27.0,175.0,38.0,11.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,8.0,7.0
200825,KT,WO,B,L,27.0,167.0,36.0,10.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,4.0,3.0
200825,WO,KT,T,W,27.0,127.0,32.0,5.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0
200826,NC,HH,B,W,27.0,156.0,34.0,7.0,1.0,0.0,1.0,0.0,5.0,8.0,2.0,5.0,5.0
200826,HH,NC,T,L,24.0,150.0,36.0,11.0,2.0,0.0,2.0,1.0,4.0,6.0,1.0,9.0,6.0
