GDAY_DS,T_ID,VS_T_ID,TB_SC,AB,RBI,RUN,HIT,H2,H3,HR,SB,BB,KK,GD,ERR,LOB
200825,LG,SS,T,33.0,3.0,3.0,7.0,1.0,0.0,1.0,1.0,7.0,8.0,0.0,0.0,10.0
200825,SS,LG,B,31.0,4.0,4.0,7.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0
200825,OB,HT,B,37.0,10.0,10.0,15.0,1.0,0.0,3.0,0.0,5.0,2.0,1.0,1.0,9.0
200825,HH,NC,T,37.0,3.0,3.0,11.0,1.0,1.0,0.0,0.0,6.0,9.0,1.0,0.0,13.0
200825,NC,HH,B,38.0,11.0,11.0,15.0,3.0,0.0,6.0,1.0,2.0,7.0,0.0,0.0,5.0
200825,LT,SK,B,38.0,8.0,8.0,11.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,1.0,8.0
200826,WO,KT,T,36.0,5.0,5.0,8.0,0.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,5.0
200826,KT,WO,B,36.0,5.0,6.0,10.0,2.0,0.0,1.0,1.0,7.0,6.0,2.0,0.0,10.0
200826,SK,LT,T,29.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0,7.0,2.0,0.0,3.0
200826,SS,LG,B,35.0,5.0,5.0,9.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,5.0
200826,LG,SS,T,36.0,8.0,8.0,10.0,1.0,0.0,4.0,0.0,3.0,7.0,0.0,1.0,4.0
200826,HT,OB,T,41.0,7.0,7.0,15.0,1.0,0.0,1.0,0.0,4.0,5.0,0.0,1.0,12.0
200826,OB,HT,B,35.0,5.0,5.0,11.0,1.0,0.0,1.0,0.0,6.0,8.0,1.0,0.0,11.0
200826,HH,NC,T,34.0,5.0,5.0,7.0,1.0,0.0,1.0,0.0,5.0,8.0,2.0,2.0,7.0
200826,NC,HH,B,36.0,9.0,9.0,11.0,2.0,0.0,2.0,1.0,4.0,6.0,1.0,2.0,7.0
200826,LT,SK,B,28.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,10.0
200827,WO,LT,T,40.0,11.0,11.0,15.0,5.0,0.0,3.0,2.0,4.0,2.0,2.0,0.0,7.0
200827,LT,WO,B,36.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,6.0,5.0,2.0,2.0,10.0
200827,SS,HH,T,32.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,6.0
200827,HH,SS,B,33.0,7.0,7.0,11.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,7.0
200827,OB,NC,T,37.0,2.0,2.0,13.0,6.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,10.0
200827,NC,OB,B,35.0,7.0,8.0,13.0,2.0,1.0,1.0,0.0,5.0,9.0,1.0,0.0,8.0
200827,LG,KT,B,29.0,1.0,2.0,6.0,0.0,1.0,0.0,1.0,2.0,7.0,1.0,0.0,5.0
200827,HT,SK,T,33.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,12.0,0.0,1.0,6.0
200827,SK,HT,B,36.0,10.0,10.0,14.0,4.0,0.0,2.0,1.0,3.0,6.0,0.0,0.0,8.0
200827,KT,LG,T,29.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,8.0
200828,LT,WO,B,37.0,4.0,4.0,12.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,9.0
200828,KT,LG,T,36.0,5.0,5.0,5.0,1.0,0.0,2.0,1.0,4.0,13.0,1.0,0.0,2.0
200828,NC,OB,B,35.0,3.0,4.0,10.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,8.0
200828,OB,NC,T,46.0,11.0,11.0,18.0,1.0,0.0,4.0,0.0,6.0,4.0,0.0,0.0,14.0
200828,WO,LT,T,36.0,7.0,8.0,11.0,3.0,0.0,2.0,5.0,7.0,7.0,0.0,0.0,9.0
200828,HT,SK,T,39.0,11.0,11.0,13.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,1.0,7.0
200828,SK,HT,B,33.0,7.0,8.0,11.0,2.0,2.0,1.0,0.0,9.0,10.0,2.0,1.0,9.0
200828,LG,KT,B,40.0,5.0,6.0,12.0,3.0,0.0,0.0,0.0,5.0,6.0,2.0,0.0,9.0
200829,LG,OB,B,37.0,5.0,5.0,10.0,2.0,0.0,2.0,0.0,1.0,13.0,0.0,0.0,6.0
200829,HH,LT,T,38.0,6.0,7.0,11.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,0.0,6.0
200829,LT,HH,B,33.0,9.0,9.0,11.0,3.0,0.0,4.0,1.0,6.0,5.0,1.0,1.0,7.0
200829,NC,SK,B,35.0,8.0,9.0,14.0,3.0,0.0,2.0,1.0,4.0,4.0,1.0,0.0,6.0
200829,SK,NC,T,35.0,5.0,5.0,9.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,2.0,5.0
200829,WO,SS,B,30.0,4.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0
200829,SS,WO,T,37.0,5.0,5.0,10.0,2.0,0.0,0.0,1.0,2.0,10.0,0.0,0.0,8.0
200829,OB,LG,T,35.0,5.0,5.0,11.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,6.0
200830,KT,HT,T,34.0,8.0,8.0,7.0,2.0,0.0,1.0,0.0,11.0,7.0,0.0,1.0,11.0
200830,HT,KT,B,34.0,7.0,7.0,10.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,7.0
200830,KT,HT,T,37.0,4.0,5.0,10.0,1.0,1.0,1.0,1.0,3.0,10.0,0.0,2.0,9.0
